utterance,paraphrase,list_of_slots,error_category,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around Oct. eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",duplication,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around the eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",correct,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around the eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",correct,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around the eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",correct,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around the eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",correct,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around October eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",correct,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around October eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",correct,,
What is the weather forecast  here,What is the forecast for the weather in the future?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the forecast for the weather in the future?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the forecast for the weather in the future?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the forecast for the weather in the future?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the weather forecast for the next few days?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the weather forecast for the next few days?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the weather forecast for the next few days?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the weather forecast for the next few days?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the weather forecast for the next week?,['here || current_location'],wrong slot,,
What is the weather forecast  here,What is the weather forecast for the next week?,['here || current_location'],wrong slot,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on the fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on the fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on the fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on the fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on Jan. fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on Jan. fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on Jan. fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer near here on Jan. fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",correct,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer here on the fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",slot omission,,
Will it be  warmer   near   here  on  jan. the fifteenth ?,Will it be warmer here on the fifteenth?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']",slot omission,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation at a bakery in Osage City for seven people.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",duplication,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","grammar, duplication",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",grammar,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",grammar,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast at the pizzeria in MI.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",correct,,
